Headline,Link
"Sebi fines Reliance Industries, Mukesh Ambani, two other entities",https://economictimes.indiatimes.com/markets/stocks/news/sebi-fines-reliance-industries-mukesh-ambani-two-other-entities/articleshow/80064297.cms
Will Jubilant give lip-smacking returns in the short term?,https://economictimes.indiatimes.com/markets/stocks/news/will-jubilant-give-lip-smacking-returns-in-the-short-term/articleshow/80065099.cms
Steep earnings upgrades point to bullishness: Kotak Securities,https://economictimes.indiatimes.com/markets/stocks/earnings/steep-earnings-upgrades-point-to-bullishness-kotak-securities/articleshow/80065100.cms
Housing finance cos face asset quality challenges in 2021,https://economictimes.indiatimes.com/markets/stocks/news/hsg-finance-cos-face-asset-quality-challenges-in-2021/articleshow/80065102.cms
Antony Waste closes up 29% over IPO price on market debut,https://economictimes.indiatimes.com/markets/ipos/fpos/antony-waste-closes-up-29-over-ipo-price-on-mkt-debut/articleshow/80065106.cms
RBI launches Digital Payments Index,https://economictimes.indiatimes.com/markets/stocks/news/rbi-launches-digital-payments-index/articleshow/80065109.cms
SII can supply 10m doses to govt in January: Adar Poonawalla,https://economictimes.indiatimes.com/industry/healthcare/biotech/pharmaceuticals/sii-can-supply-10m-doses-to-govt-in-jan/articleshow/80066416.cms
"Curbs and curfews play party poopers for restaurants, pubs",https://economictimes.indiatimes.com/industry/services/hotels-/-restaurants/curbs-and-curfews-play-party-poopers-for-restaurants-pubs/articleshow/80066415.cms
Economists see strong GDP rebound in 2021,https://economictimes.indiatimes.com/news/economy/indicators/economists-see-strong-gdp-rebound-in-2021/articleshow/80066419.cms
View: China’s disregard for International Law a problem for India,https://economictimes.indiatimes.com/news/defence/chinas-disregard-for-international-law-a-problem-for-india/articleshow/80066473.cms
China senior diplomat says U.S. relations at 'new crossroads',https://economictimes.indiatimes.com/news/international/world-news/china-senior-diplomat-says-u-s-relations-at-new-crossroads/articleshow/80067823.cms
New Year arrives with US hitting 20 million Covid cases,https://economictimes.indiatimes.com/news/international/world-news/new-year-arrives-with-us-hitting-20-million-covid-cases/articleshow/80067847.cms
Exploding debt levels mean stocks can't go ‘To the Moon’ forever,https://economictimes.indiatimes.com/markets/stocks/news/exploding-debt-levels-mean-stocks-cant-go-to-the-moon-forever/articleshow/80068221.cms
"As Delhi readies for Covid shot in the arm, here’s how the chain of events will unfold",https://economictimes.indiatimes.com/news/politics-and-nation/as-delhi-readies-for-covid-shot-in-the-arm-heres-how-the-chain-of-events-will-unfold/articleshow/80068420.cms
Donald Trump supporters to hold rally in US Capital on January 6 to protest election result,https://economictimes.indiatimes.com/news/international/world-news/donald-trump-supporters-to-hold-rally-in-us-capital-on-january-6-to-protest-election-result/articleshow/80068413.cms
16 financial deadlines in 2021 that you must know,https://economictimes.indiatimes.com/wealth/plan/16-financial-deadlines-in-2021-that-you-must-know/articleshow/79837132.cms
"IGI airport to charge new levy on flyers, flying out of Delhi to be a bit costlier from February",https://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/igi-airport-to-charge-new-levy-on-flyers-flying-out-of-delhi-to-be-a-bit-costlier-from-february/articleshow/80068533.cms
"IGI airport to charge new levy on flyers, flying out of Delhi to be a bit costlier from February",https://economictimes.indiatimes.com/wealth/personal-finance-news/igi-airport-to-charge-new-levy-on-flyers-flying-out-of-delhi-to-be-a-bit-costlier-from-february/articleshow/80069414.cms
New year OPEC+ meeting to decide production levels,https://economictimes.indiatimes.com/markets/commodities/news/new-year-opec-meeting-to-decide-production-levels/articleshow/80068688.cms
New Year Cheer: Delhi restaurants may get to serve liquor till 3am,https://economictimes.indiatimes.com/industry/cons-products/liquor/new-year-cheer-delhi-restaurants-may-get-to-serve-liquor-till-3am/articleshow/80068721.cms
Massive fire breaks out at Harley Davidson showroom in Delhi's Moti Nagar,https://economictimes.indiatimes.com/news/politics-and-nation/massive-fire-breaks-out-at-harley-davidson-showroom-in-delhis-moti-nagar/articleshow/80068647.cms
Army creates a new Major General-led human rights cell for 'transparency and probity',https://economictimes.indiatimes.com/news/defence/army-creates-a-new-major-general-led-human-rights-cell-for-transparency-and-probity/articleshow/80068928.cms
Looking to find love in 2021? Don’t miss the biggest dating day of the year,https://economictimes.indiatimes.com/magazines/panache/looking-to-find-love-in-2021-dont-miss-the-biggest-dating-day-of-the-year/articleshow/80068874.cms
"India records less than 20,000 fresh COVID-19 cases; the number of recoveries goes past 99 lakh",https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/india-records-less-than-20000-fresh-covid-19-cases-the-number-of-recoveries-goes-past-99-lakh/articleshow/80068968.cms
Bipartisan Congressional provision condemning China's military aggression towards India becomes law in US,https://economictimes.indiatimes.com/news/defence/bipartisan-congressional-provision-condemning-chinas-military-aggression-towards-india-becomes-law-in-us/articleshow/80068973.cms
"Game changer volte-face of Rajinikanth, storms mark 2020 in Tamil Nadu",https://economictimes.indiatimes.com/news/politics-and-nation/game-changer-volte-face-of-rajinikanth-storms-mark-2020-in-tamil-nadu/articleshow/80068996.cms
"Light rain in Delhi, minimum temperature rises to 7 degrees Celsius",https://economictimes.indiatimes.com/news/politics-and-nation/light-rain-in-delhi-minimum-temperature-rises-to-7-degrees-celsius/articleshow/80068839.cms
"2021 will be an earnings catch-up year for markets! But, be careful...",https://economictimes.indiatimes.com/markets/stocks/news/2021-will-be-an-earnings-catch-up-year-for-markets-but-be-careful-/articleshow/80068932.cms
Exports slip 0.8% in December 2020; trade deficit widens to $15.71 billion,https://economictimes.indiatimes.com/markets/stocks/news/exports-slip-0-8-in-december-2020-trade-deficit-widens-to-15-71-billion/articleshow/80069446.cms
Exports slip 0.8% in December 2020; trade deficit widens to USD 15.71 billion,https://economictimes.indiatimes.com/small-biz/trade/exports/insights/exports-slip-0-8-in-december-2020-trade-deficit-widens-to-15-71-billion/articleshow/80071143.cms
Exports slip 0.8% in December 2020; trade deficit widens to USD 15.71 billion,https://economictimes.indiatimes.com/news/economy/foreign-trade/exports-slip-0-8-in-december-2020-trade-deficit-widens-to-15-71-billion/articleshow/80069085.cms
Dry run for COVID-19 vaccination begins in Delhi,https://economictimes.indiatimes.com/news/politics-and-nation/dry-run-for-covid-19-vaccination-begins-in-delhi/articleshow/80069205.cms
"The perception of entertainment changes, short films come of age during the pandemic",https://economictimes.indiatimes.com/magazines/panache/the-perception-for-entertainment-changes-short-films-come-of-age-during-the-pandemic/articleshow/80069028.cms
"Wall Street Week Ahead: Investors bullish on stocks, hoping for a brighter 2021",https://economictimes.indiatimes.com/markets/stocks/news/wall-street-week-ahead-investors-bullish-on-stocks-hoping-for-a-brighter-2021/articleshow/80069260.cms
"Delhiites, enjoy your 1.1° C of separation",https://economictimes.indiatimes.com/magazines/panache/delhiites-enjoy-your-1-1-c-of-separation/articleshow/80069383.cms
Senior Congress leader Buta Singh passes away at 86,https://economictimes.indiatimes.com/news/politics-and-nation/senior-congress-leader-buta-singh-passes-away-at-86/articleshow/80069380.cms
Iran tells inspectors it plans up to 20% enrichment at Fordo,https://economictimes.indiatimes.com/news/international/world-news/iran-tells-inspectors-it-plans-up-to-20-enrichment-at-fordo/articleshow/80069454.cms
Tata Steel transfers stake in processing arms to TSDPL,https://economictimes.indiatimes.com/markets/stocks/news/tata-steel-transfers-stake-in-processing-arms-to-tsdpl/articleshow/80069468.cms
CCI seeks details on Amazon India antitrust case,https://economictimes.indiatimes.com/tech/technology/cci-seeks-details-on-amazon-india-antitrust-case/articleshow/80069581.cms
Cloudtail’s fee to Amazon India more than doubles in two years,https://economictimes.indiatimes.com/tech/technology/cloudtails-fee-to-amazon-india-more-than-doubles-in-two-years/articleshow/80069610.cms
"Bring on 2021: Mahindra, Vani Kola, Bhavin Turakhia share their resolutions for the New Year",https://economictimes.indiatimes.com/magazines/panache/bring-on-2021-mahindra-vani-kola-bhavin-turakhia-share-their-resolutions-for-the-new-year/articleshow/80069474.cms
"US Congress overrides President Trump's veto of defence budget, 1st for his admin",https://economictimes.indiatimes.com/news/defence/us-congress-overrides-president-trumps-veto-of-defence-budget-1st-for-his-admin/articleshow/80069619.cms
Algorithms already rule our world. Time to make it transparent and fair,https://economictimes.indiatimes.com/small-biz/security-tech/technology/algorithms-already-rule-our-world-time-to-make-it-transparent-and-fair/articleshow/80069661.cms
COVID-19 vaccine dry run to continue in Assam till actual dose arrives: Official,https://economictimes.indiatimes.com/news/politics-and-nation/covid-19-vaccine-dry-run-to-continue-in-assam-till-actual-dose-arrives-official/articleshow/80069969.cms
